model,prompt,sentence_sha256,stance,topic,prompt_tokens,completion_tokens,sentence
gpt-5-mini,codebook,227d91caecf86becf8e508c7d06b51ef8a5892d8c0e93bbb792928500d37882c,neutral,growth,367,82,"Household spending and business fixed investment advanced, while the recovery in the housing sector slowed somewhat in recent months."
gpt-5-mini,codebook,228afe48f2b4b61c1d628afb34465979b5fdbe756ae87913f6ef370ce9130607,neutral,employment,,,Strong population gains are adding to labour supply and supporting employment growth while also boosting aggregate consumption.
gpt-5-mini,codebook,229095e7bd575d34dafadb08fe322da37d13c813d0b55b1c97ad64e02cb3a8e5,neutral,growth,,,"With consumption, government spending and net exports all increasing, the weaker-than-expected GDP was largely because of a sizeable slowdown in inventory investment."
gpt-5-mini,codebook,2294699d908309b3244157d88948721abbb5683f33a6434444ccfa54a0d8f5f3,neutral,financial_stability,,,Gross corporate bond issuance stayed strong in September and October.
gpt-5-mini,codebook,2298ba61a2b1b31b600e9b9c9dc8011b0cce27c9d393cfcfd32769b6859ab211,neutral,guidance,,,"and Austan D. Goolsbee and Jeffrey R. Schmid, who preferred no change to the target range for the federal funds rate at this meeting."
gpt-5-mini,codebook,22aeba63715fbbcf5560377970401397cba116006b416f142826d98f41ff5914,neutral,inflation,374,147,"The Bank’s core measures of inflation remain firmly around 2 per cent, consistent with an economy that has been operating near capacity for some time."
gpt-5-mini,codebook,22af30b3914d1d9ca29b119a96de8800c31adc5337accf928618eac98e627d4b,neutral,financial_stability,358,276,The ultimate size of this impact will need to be monitored closely.
gpt-5-mini,codebook,22be15f9b803606004e688c0a9b2c1a9c37b63dc367bad352d7e7fdf4479a96a,neutral,growth,385,147,"The global and Canadian economic outlooks have evolved largely as anticipated in the July Monetary Policy Report (MPR), with rapid expansions as economies reopened giving way to slower growth, despite considerable remaining excess capacity."
gpt-5-mini,codebook,22ea791a0761726eb08341f068c5770d20ef631126fb94f32d6349ba7b8741ff,neutral,guidance,355,150,"Implementation Note issued March 3, 2020"
gpt-5-mini,codebook,2310001c160e65b8957c20e554d0630665fedc994eb3fe2f77d07f49474825a0,neutral,growth,367,82,"Growth in Canada slowed in the third quarter of 2019 to 1.3 percent, as expected."
gpt-5-mini,codebook,2322c74d53cfd590ffe314008f082c317f1408854920220fbb2a76cf41ec74ae,neutral,growth,,,"However, with slower population growth because of reduced immigration targets, both GDP and potential growth will be more moderate than was expected in October."
gpt-5-mini,codebook,2327e4353a07fa609513a8d93648f20eeca7883c46f5571019b6930aa8444429,neutral,guidance,393,147,"However, asset purchases are not on a preset course, and the Committee's decisions about their pace will remain contingent on the Committee's outlook for the labor market and inflation as well as its assessment of the likely efficacy and costs of such purchases."
gpt-5-mini,codebook,23311202d4ababa27a7835c09283c6de1a5d8b302563d612644e8ed1b5b12d3b,neutral,inflation,,,"Core measures of inflation have risen, but by less than the CPI."
gpt-5-mini,codebook,233628db42902f6d8831cc8ea9bfb6d136e39c4a525a24fc73b7a3feda9b2fd0,neutral,growth,,,"Housing activity declined in the fourth quarter and is being held back by slow population growth, economic uncertainty and ongoing affordability issues."
gpt-5-mini,codebook,233fc9de18fc39aeefb77ae9fe0a449cfafab14e45719171eb3ef2498accf2c6,neutral,inflation,362,211,"In sum, Canada’s economy is operating close to potential and inflation is on target."
gpt-5-mini,codebook,2341813983af850be68484ed084ee6697e635f1815caca2580590a55d0161683,neutral,growth,,,"Domestic demand grew by more than 2% due to strength in consumer and government spending, even as housing markets remained weak."
gpt-5-mini,codebook,2344183498b78315f2d8ac2fb0418696e37d944823924969927b6d81bc107989,neutral,growth,367,82,Household spending continues to underpin economic activity and is expected to grow at a moderate pace over the projection period.
gpt-5-mini,codebook,234ff9259638d06cca2ea8518a665caa777ae6c0966d22d40a6702431197b0d0,neutral,guidance,409,83,"Voting for the FOMC monetary policy action were: Janet L. Yellen, Chair; William C. Dudley, Vice Chairman; Lael Brainard; Charles L. Evans; Stanley Fischer; Dennis P. Lockhart; Jerome H. Powell; Daniel K. Tarullo; and John C. Williams."
gpt-5-mini,codebook,236696729301125ab87f3b226b40eff374a5106ed5f22b36d62c75a8fb98858a,neutral,growth,365,82,Available economic data show that the U.S. economy came into this challenging period on a strong footing.
gpt-5-mini,codebook,2383270c1c774f12ee196bc38dd733b01d605fd0dd305d5798964e547bd7c112,dovish,inflation,,,"by 2026, total and core PCE price inflation were expected to be close to 2 percent."
gpt-5-mini,codebook,23941019d4f9058ade47cf352567d6ba5724b48897440a88d9ad48a79f3061f3,neutral,growth,,,"The manager noted, however, that the curve's forecasting record was mixed."
gpt-5-mini,codebook,239416a7a989e78d208af60ff45ca23be41aed1bae9e1f69999b0de34a033832,neutral,financial_stability,,,Global financial conditions have tightened and markets have been volatile.
gpt-5-mini,codebook,23a2092858a8a618a1be3fac6bfdd263d925c2a775a90fbdfbb1a0d52dd9c537,hawkish,inflation,,,"Excluding taxes, inflation rose 2.3% in April, slightly stronger than the Bank had expected."
gpt-5-mini,codebook,23b07b9cec3ad2b3703a650c77bd67c3b86fd476b0b9015abe21f9f0ef00a4e4,neutral,financial_stability,,,"Conditions in U.S. short-term funding markets remained stable over the intermeeting period, with typical dynamics observed surrounding quarter-end."
gpt-5-mini,codebook,23c4e06dec0c63bb33d14623ef73acc8f391aa1f2c096feb3eef273c067ef3b4,neutral,financial_stability,,,"Funding risks at domestic banks remained low, but prime money market funds, other cash-investment vehicles, open-end mutual funds, and stablecoins all continued to be susceptible to disruptive redemptions."
gpt-5-mini,codebook,23cad9f63a01237e91315b132b0057db1b7b9677aeaf5dbd96c3d34978804a97,hawkish,employment,371,211,"A range of recent labor market indicators, including strong job gains, points to some additional decline in underutilization of labor resources."
gpt-5-mini,codebook,23cf60ea8906303c1c05a8cb3a585b7d3fb3bf3e988447c3f80d53e647c7eddf,neutral,guidance,377,147,"Voting against the action were Charles L. Evans and Neel Kashkari, who preferred at this meeting to maintain the existing target range for the federal funds rate."
gpt-5-mini,codebook,23dca2aed093a050a0c88941d862cc6b46184df08eb35053c0b9d783fc6a6645,neutral,employment,385,210,"June 14, 2017 Information received since the Federal Open Market Committee met in May indicates that the labor market has continued to strengthen and that economic activity has been rising moderately so far this year."
gpt-5-mini,codebook,23df3fdbba5c5af91ed69a5a884b0c7c96fec1e557bdd045ea9e7e91ed562dc1,neutral,financial_stability,,,Credit quality was generally stable at levels somewhat weaker than during the pre-pandemic period.
gpt-5-mini,codebook,2400af554c719feda822c3096106b456ba56ae40d6d5e51d9ccaca78f511b1e6,neutral,guidance,363,148,The next scheduled date for announcing the overnight rate target is 1 March 2017.
gpt-5-mini,codebook,2400cca1a148094c50d67fe35be7441c270a94075b799b119eabb2f926dffa2e,dovish,growth,371,405,"The ongoing public health crisis continues to weigh on economic activity, employment, and inflation, and poses considerable risks to the economic outlook."
gpt-5-mini,codebook,2403721c3666c6c5e28ac44e1d0a6c16a08178f9db79ac61a0f105f52a0d7afc,neutral,growth,,,Uncertainty is still high.
gpt-5-mini,codebook,241f545e7939915929098ed6994aa4fa180a5e8980bc8337003361913ebfd21b,neutral,inflation,384,147,"CPI inflation was 3.6 percent in May, boosted by temporary factors that include base-year effects and stronger gasoline prices, as well as pandemic-related bottlenecks as economies re-open."
gpt-5-mini,codebook,242e82e74128a64e16de820d72615ae3335e7462656469b2d81bc57cb66f2228,dovish,guidance,,,Options on interest rate futures suggested that market participants were placing a higher probability on greater policy easing by early 2026 than they had just before the July FOMC meeting.
gpt-5-mini,codebook,2438d202e808f199e814425bbba5cb4ce4cf8f925e728096998f720bc4fd8bea,neutral,employment,,,"The unemployment rates for African Americans and for Hispanics also moved up, and both rates were above those for Asians and for Whites."
gpt-5-mini,codebook,243ecc6bd359bf930ce238ebd760fb53274a454d617ee0bbfbe4614d5860b7ed,neutral,growth,,,Residential investment is expected to grow robustly.
gpt-5-mini,codebook,24475f25b518a5368c62ecfaeb5a54d1887eeae4f43f9da4ba730357cdb7881a,neutral,employment,366,85,"Some indicators of labor market conditions have shown further improvement in recent months, but the unemployment rate remains elevated."
gpt-5-mini,codebook,245a3161d8ae3383d32d5f117b38619edbc3c8d44c1c8772e58bafe55f2b8b1d,neutral,guidance,369,148,The Bank Rate is correspondingly 3/4 per cent and the deposit rate is 1/4 per cent.
gpt-5-mini,codebook,245a7d8f62ebd7f0c6e714a3afec4a207a12ec516472afb5dd71dd9dfc149744,neutral,inflation,371,83,"Although market-based measures of inflation compensation have moved lower in recent months, survey-based measures of longer-term inflation expectations are little changed."
gpt-5-mini,codebook,2460c05b548db0c18696c86f62f1e919cff8c97a1d9376b0bd6f7ae4e1412d40,neutral,guidance,381,467,"The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR on 13 July 2016."
gpt-5-mini,codebook,2468862d723abe4fc647357567f9e61e9e8d936b6e55e285b9fe4132588c80cb,neutral,growth,,,"September 20, 2023 Recent indicators suggest that economic activity has been expanding at a solid pace."
gpt-5-mini,codebook,246eb9f7a156abebb76ab6fb5999273f331aadccd64cea2a60c5fcc6d06ec950,neutral,growth,,,The Bank has revised up its forecast for global GDP growth to 2¾% in 2024 and about 3% in 2025 and 2026.
gpt-5-mini,codebook,247c255b1c0d150fbb4f81f27759807ebfca36d5b93e4efad0f1467121d28739,neutral,inflation,366,83,Inflation is broadly in line with the Bank’s projection in its April Monetary Policy Report (MPR).
gpt-5-mini,codebook,248245d9e75c2a20a7595d0995975826a337424875f18b97b2cfe188f600fe5f,neutral,employment,,,"The unemployment rate was little changed, on net, and stood at 3.7 percent in November, the same as its third-quarter average."
gpt-5-mini,codebook,2483b23df67031b663d9d2b463273bf87c5a4e7f56937f62fd536b2c8882571b,hawkish,growth,,,"A couple of these participants commented that the aggregate household sector may have more financial resources than previously thought, which could help account for the strength in spending."
gpt-5-mini,codebook,24a432510a9bf3cf6dee670c6802a6dc1928e26e4ac3911598850a59de9d192a,neutral,growth,366,85,The outlook for the global economy has weakened further since the Bank’s July Monetary Policy Report ( MPR ).
gpt-5-mini,codebook,24b51c20ea02bc957e64e7dbf2e7fdf17af5e1980bdbd8863940a8b6c927f92b,neutral,financial_stability,,,"Credit quality remained solid for large-to-midsize firms, municipalities, and most categories of mortgages, but delinquency rates continued to be somewhat elevated in other sectors."
gpt-5-mini,codebook,24bfbbbd7447c5ceb2fe7f747461d9d327e196bc9109f5624491ace7ba070d27,neutral,guidance,,,A subsequent market notice containing operational details will be published well in advance.
gpt-5-mini,codebook,24c08f1fedcacd61f8ce947835cc040f591739b4a3647564e72b68cd1b4b94c1,neutral,financial_stability,,,"On the April 15 tax date, secured funding market rates rose somewhat as reserves declined sharply, and there was modest take-up of SRP operations."
gpt-5-mini,codebook,24c59a1b269ad32f0848ba7c7f454cbe8019c859e0301ae4196884cf2cb9caa8,neutral,growth,,,This implies real GDP growth of 1.8% in 2023 and 1.2% in 2024.
gpt-5-mini,codebook,24cc605dc23b8529fc89b9b4f9fb9ff0554824c2fb2ec9e34713ec4ef88f54bb,neutral,employment,,,Employment has shown solid gains in the past three months and the unemployment rate declined to 6.5% in November.
gpt-5-mini,codebook,24dfe160778c7d535a13e159a3551b9efe23edfaa9ae2e5b56128205b187699d,neutral,guidance,,,Some participants commented that they welcomed the opportunity to review the Committee's communications tools and practices.
gpt-5-mini,codebook,24ea04e750cad8e846bdd5283d269ad3f7569cc844b9450eda44def03503234a,dovish,inflation,368,152,The Committee also anticipates that inflation over the medium term likely will run at or below its 2 percent objective.
gpt-5-mini,codebook,24edf08257241d37138df1c4a06b90f53a5704dc85c63db196bec4f95a6e99e6,neutral,guidance,365,86,The Bank Rate is correspondingly 2 percent and the deposit rate is 1 ½ percent.
gpt-5-mini,codebook,24f1ae8979682f69c816d66e4866b07ed788cb6da86a28b3bb7d736224bb4451,hawkish,inflation,,,"CPI inflation ticked up in April to 4.4%, the first increase in 10 months, with prices for a broad range of goods and services coming in higher than expected."
gpt-5-mini,codebook,24f5cf8fd3ef3c89c79b53fa912c7b3cad482d57ebe1820d1f13a2a67364c787,neutral,employment,,,"Some participants remarked, however, that slower output or employment growth was not necessarily indicative of emerging economic slack because a decline in immigration was lowering both actual and potential output growth as well as reducing both actual payroll growth and the number of new jobs needed to keep the unemployment rate stable."
gpt-5-mini,codebook,24fd349a38d82d71ff107fdd7a76ceed4958d067c75286d3d0aad272846eb824,neutral,growth,383,83,"June 17, 2015 For immediate release Information received since the Federal Open Market Committee met in April suggests that economic activity has been expanding moderately after having changed little during the first quarter."
gpt-5-mini,codebook,24fd4f7a0208319e39e0ddff13f4a1e6c4518bfd00afeb06a2ba80149a5042c5,neutral,growth,366,146,"As in April, the projection incorporates an estimate of the impact of trade uncertainty on Canadian investment and exports."
gpt-5-mini,codebook,24ffd0fedcaf1d85c49b1d1e86cc4b06f188844a7cdc8c63dd196ebb63ee062a,neutral,growth,390,274,"Taking into account the extent of federal fiscal retrenchment, the Committee sees the improvement in economic activity and labor market conditions since it began its asset purchase program a year ago as consistent with growing underlying strength in the broader economy."
gpt-5-mini,codebook,2516d26b7cdb20cb9fb576c1c7192d2cf2701d385a5b81969616d09db47e7ccc,neutral,inflation,,,"This reflects the strength of the global recovery from the pandemic, a series of global supply disruptions, and elevated commodity prices, particularly for energy, which have been pushed up by Russia’s attack on Ukraine."
gpt-5-mini,codebook,252bd982c75761a4c2cc4b3ec88ebcfffbcb901ca1f72ae8b52331f5f700547b,neutral,guidance,,,"In the absence of the manager, the Committee's Rules of Organization provide that the deputy manager acts as manager pro tem."
gpt-5-mini,codebook,2538bef71c7c5f4f35a2d322c13de2fcd17dd81daad5f8ab16ba3fb2880f38bc,dovish,financial_stability,359,214,"Meanwhile, global financial conditions have become even more accommodative since July."
gpt-5-mini,codebook,2558cad66c87350329b6266a99ba7856638aff59cfcb45b98f9781a185be973a,dovish,growth,365,84,"The ongoing public health crisis continues to weigh on the economy, and risks to the economic outlook remain."
gpt-5-mini,codebook,255bd4139977c27a6273a56655add2c154cd461802b8bb17f8fa99861f27002c,neutral,employment,,,"Participants' Views on Current Economic Conditions and the Economic Outlook In their discussion of current conditions, participants noted that, with progress on vaccinations and strong policy support, indicators of economic activity and employment had continued to strengthen."
gpt-5-mini,codebook,2561e6717cf08881673098e7482bd6bedc69830ee53aee7427c71168b57938ad,neutral,guidance,,,"The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the Monetary Policy Report on October 25, 2023."
gpt-5-mini,codebook,256419362d5125be784c50ec3462106c325e0279f4208b772acdee632a3a48b7,neutral,financial_stability,,,Delinquency rates for credit cards and auto loans increased further in the second quarter and stood a bit above their average levels in the years leading up to the pandemic.
gpt-5-mini,codebook,256ffd1d58fda4220b79ff15203e8297108bc9576b4ba8c91bb950a70f4cade6,hawkish,employment,,,"The labor market remained very tight, with robust job gains in recent months and the unemployment rate still low, but there were continuing signs that supply and demand in the labor market were coming into better balance."
gpt-5-mini,codebook,257e612dc755987ca440ea81b47099d71634f3b0b47930f9fe81293e0e8a774a,hawkish,inflation,,,"In light of the accumulation of evidence that excess demand and elevated core inflation are both proving more persistent, and taking into account its revised outlook for economic activity and inflation, Governing Council decided to increase the policy interest rate to 5%."
gpt-5-mini,codebook,2584de2d7efbe4771fb94d72a6807a5aa1ed84d75a14954071bbc7d164abe11f,neutral,growth,357,275,"As expected, exports contracted, driven by non-energy commodities."
gpt-5-mini,codebook,259da17ec74a8d000783ffd979d348694c97139782b09a08dfc834d85f4f0515,dovish,guidance,,,"The Bank of Canada today reduced its target for the overnight rate to 3¼%, with the Bank Rate at 3½% and the deposit rate at 3¼%."
gpt-5-mini,codebook,259e4a04b6b6a5270524f55683ebc3741c9f5961cb32b434feb963e3fe1857b5,dovish,guidance,,,We will continue to provide the appropriate degree of monetary policy stimulus to support the recovery and achieve the inflation target.
gpt-5-mini,codebook,25aa81a68f92fc50757293497e2f03cc8719cbad64c29457292646e724735494,neutral,financial_stability,,,Attended the discussion of the economic and financial situation only.
gpt-5-mini,codebook,25b0fc372dd1984e0c97caac9cf321ba3195c3f27842302932e425e5c224d9b4,neutral,guidance,364,84,"The next scheduled date for announcing the overnight rate target is October 30, 2019."
gpt-5-mini,codebook,25b3e4739c4ee870076232db4e60821acf3aac8ae44b1e82d8fa34707ede77d9,neutral,employment,,,The Committee judges that the risks to achieving its employment and inflation goals are roughly in balance.
gpt-5-mini,codebook,25c14bc3d95e02332c3a2bbcd2bd39cad29bf4cec58fb56c282011c185cf2577,hawkish,inflation,,,"Members also concurred that, in recent months, there was a lack of further progress toward the Committee's 2 percent inflation objective and agreed to acknowledge this development in the postmeeting statement."
gpt-5-mini,codebook,25d698e9c2d71f41e4e3a3d86ba7ea5982431841589f76d41f7ee56144104f93,neutral,guidance,,,"Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Michael S. Barr; Michelle W. Bowman; Lael Brainard; Lisa D. Cook; Austan D. Goolsbee; Patrick Harker; Philip N. Jefferson; Neel Kashkari; Lorie K. Logan; and Christopher J. Waller."
gpt-5-mini,codebook,25e6d14f068be5bfa273d60808c07437f9e5a1736356c9809cd7c607295bc44a,neutral,growth,377,83,"June 20, 2012 For immediate release Information received since the Federal Open Market Committee met in April suggests that the economy has been expanding moderately this year."
gpt-5-mini,codebook,25ef5f8fa31d7d6139615a12290c54bdaf2dfb7fb9eda8870e2deef468bb5c7c,neutral,growth,375,82,"The sudden halt in global activity will be followed by regional recoveries at different times, depending on the duration and severity of the outbreak in each region."
gpt-5-mini,codebook,26088a8cde7a122b4b2e6ad96d19b3621c521eb8d40b9877d86c023d36592b34,neutral,guidance,363,147,The next scheduled date for announcing the overnight rate target is 19 October 2016.
gpt-5-mini,codebook,26180357bf9510ccdd096d895e44bafce1022bc92ea89bfa0a8d434b770c9b4c,neutral,inflation,399,275,"Inflation is anticipated to remain near its recent low level in the near term, but the Committee expects inflation to rise gradually toward 2 percent over the medium term as the labor market improves further and the transitory effects of earlier declines in energy and import prices dissipate."
gpt-5-mini,codebook,2640361a00c9746a665a6fe4255a0a5334cfba87f66fee37c61b3644420488d3,hawkish,inflation,,,"At the same time, inflation risks have gone up due to higher energy prices."
gpt-5-mini,codebook,2643cd32a5e5aec9bec783efb8926123d804c64e414da67e1401eab2e03a9cd0,hawkish,employment,,,"Job gains have been robust in recent months, and the unemployment rate has declined substantially."
gpt-5-mini,codebook,264bcb741caa4446840ce43734b9495ba47fedc58c1999d35f7bbb5120770b83,neutral,financial_stability,365,151,"Financial conditions have improved, and commodity prices have risen in recent weeks after falling sharply earlier this year."
gpt-5-mini,codebook,2653b4f38b2abbd29ad59faabf00d77d65852dffe70dadef1c02fd2f4a7397ae,dovish,growth,371,276,"The Bank anticipates that Canadian exports will strengthen as foreign demand increases, but not sufficiently to recover the ground lost during recent quarters."
gpt-5-mini,codebook,267921f6f1d3dd16bf5c45f05a30c5a8a8a77643e378cecabf91936f320875b3,neutral,inflation,,,"As expected, so far there is little evidence that oil prices have fed through more broadly to goods and services prices, but this warrants close attention in the months ahead."
gpt-5-mini,codebook,267bb0d70762e5e2de0ffbf7e3cdd95d31ca0aed3a0ba866515f6d0ee30039fa,neutral,financial_stability,,,U.S. markets for commercial paper (CP) and negotiable certificates of deposit (NCDs) stabilized over the intermeeting period.
gpt-5-mini,codebook,267d1a09f3ef001d083358b2600a0cfb2eaa9c8b52d48bf349a680e0698c9a1c,hawkish,inflation,,,"US bond yields have risen, supported by strong growth and more persistent inflation."
gpt-5-mini,codebook,267db6b7f883308eaccc0151b51beae43052e04c86d6ea5dd009c7104b4f407a,hawkish,guidance,,,"In determining the extent of future increases in the target range, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments."
gpt-5-mini,codebook,268209a53be143034387a8aa55631f9a23c6135d7f59e9894ccea9060d19043a,neutral,inflation,,,"Inflation is forecast to average around 2% in 2027 and 2028, albeit with some monthly fluctuations because of base-year effects."
gpt-5-mini,codebook,269d00a0cdaabcdcffcdb69c3083cd146c26babd118f4c986886addd5a75201d,neutral,employment,,,The unemployment rate has moved up gradually since the beginning of the year to 6.9% in June and wage growth has continued to ease.
gpt-5-mini,codebook,26ae835ba7f192016dad072fd8b0c551c59e90b4ff22880c2484cd076fc8c71e,neutral,guidance,,,All members agreed that the postmeeting statement should relay this judgment about additional rate adjustments and that it also should affirm their strong commitment both to supporting maximum employment and to returning inflation to the Committee's 2 percent objective.
gpt-5-mini,codebook,26b2758f4db10edbffb5ff11ac779da257eba892dce340da2640c228316ed729,hawkish,inflation,,,"Lower energy prices, improvements in global supply conditions, and the effects of higher interest rates on demand are expected to bring CPI inflation down to around 3% in the middle of this year and back to the 2% target in 2024."
gpt-5-mini,codebook,26e0dd1bdfeae9e3b1401832cd551d478ae9b80923f09f7cad4785358a48e58f,neutral,growth,,,The Bank estimates that GDP grew by about 4% in the second quarter.
gpt-5-mini,codebook,26f83e863778bb63a3644dd8208233ef90f8bb2a28d23ac26403ac210617286a,hawkish,guidance,,,"The Bank of Canada today increased its target for the overnight rate to 5%, with the Bank Rate at 5¼% and the deposit rate at 5%."
gpt-5-mini,codebook,26fed43f62a0a23a7d7ba62bd57f08754dcb23ed3c8404b38372fa69c9d36d31,dovish,inflation,,,"Looking through this choppiness, the Bank expects ongoing economic slack to roughly offset cost pressures associated with the reconfiguration of trade, keeping CPI inflation close to the 2% target."
gpt-5-mini,codebook,27114c2dbc6e9c3d2661a5d512a7d68f67f8847e9a4517bc320f9a1be68175ab,neutral,inflation,,,Governing Council will be carefully assessing the timing and strength of both the downward pressures on inflation from a weaker economy and the upward pressures on inflation from higher costs.
gpt-5-mini,codebook,27234361cba78c81d27bf490aafca8b7e66ecc52776ba80f1fa2950e712ea455,neutral,guidance,364,84,"The next scheduled date for announcing the overnight rate target is March 6, 2019."
gpt-5-mini,codebook,272bec49f316a7a4a0d72a174019c12a6921db1ec8cacd10cfc30c532ce43a89,neutral,guidance,,,"Many respondents also expected the System Open Market Account (SOMA) portfolio to consist, in the long run, of Treasury securities only and to match the maturity composition of Treasury debt outstanding."
gpt-5-mini,codebook,272fbb56f3c2820d0cf2e2dbbc7e2fdb476fb2068ccd722f2b587338d65bfa36,neutral,growth,359,82,"In Canada, the dynamics of growth are largely as the Bank anticipated."
gpt-5-mini,codebook,275127fec00aabb328d6ad3d90b825efc13bc592b335b65052e4fa857a1faf90,dovish,growth,,,"With recent data pointing to weaker economic activity and uncertainty elevated, risks to growth look tilted to the downside."
gpt-5-mini,codebook,275773c94da523a83b08294e931bd43b7768a10fe5250ac60216bc69531f4c8e,hawkish,inflation,,,The resulting increases in energy prices and disruptions in global supply chains are weighing on global economic growth and pushing up inflation.
gpt-5-mini,codebook,2787531181115cb3129683a37933d23064b9ab1dc8a4570ad0b7851557964929,hawkish,growth,387,214,"After incorporating these weaker elements, Canada’s economy is still expected to grow at a rate above potential starting in the second half of 2016, supported by accommodative monetary and financial conditions and federal fiscal measures."
gpt-5-mini,codebook,2788556ca20b31fffb4c98c7213ea4ff6b3be2c150f3023f0cfe5d1cc4abb8fd,neutral,guidance,,,"The Bank’s next MPR will be released on January 28, 2026."
gpt-5-mini,codebook,27925a9533f8c6f7065c1871876776dcacf14f7ce6c0ccb5674b4ae68bcc22f5,neutral,financial_stability,,,"In subsequent months, uncertainties associated with the debt limit could also be important."
gpt-5-mini,codebook,27a768042424e0b3b2ee3fe0aab3c46948d4fe96b16f2213fa700cb45e33912c,dovish,inflation,,,"Inflation in advanced economies has declined in recent months, and is now around central bank targets."
gpt-5-mini,codebook,27acf1953f31f0f0f48a700dec861eb7461e6aa2d44510e5fb5382a1c35d9f60,hawkish,guidance,,,"As the economy continues to expand and inflation pressures remain elevated, the Governing Council expects interest rates will need to rise further."
gpt-5-mini,codebook,27f264523300efa7a09b3f6b5b1c31115aa4baba9f6b5ebd3cc0745251e1f25e,hawkish,inflation,,,"However, heightened trade tensions and tariffs imposed by the United States will likely slow the pace of economic activity and increase inflationary pressures in Canada."
gpt-5-mini,codebook,280126f215d55f246f79195d089f75afd492750a6dbd0675da61a1773bf25603,hawkish,employment,365,211,"Job gains have been strong, on average, in recent months, and the unemployment rate has declined."
gpt-5-mini,codebook,2809b20372a7c55a3d80a61be24e1b8703bc910fa3c56fd8643ccf6aae6400bf,neutral,financial_stability,,,"In secured funding markets, rates on overnight repurchase agreements (repo) were higher than a few months earlier amid large issuance of Treasury securities and elevated demand for securities financing but were little changed, on net, over the period."
gpt-5-mini,codebook,28152e4db6c4038b9fd3509c1e0cc9664e5168bb158abf6f2546190167a7db15,neutral,financial_stability,,,Bank credit data also indicate that the expansion in credit card balances continued in October before slowing in early November.
gpt-5-mini,codebook,2837fafaf0f2208f9ac6d109914d09c85ef6d6a926346d42ca2ba207ab904551,neutral,growth,365,147,"This implies a return to full capacity around mid-2018, in line with October’s projection."
gpt-5-mini,codebook,283f05d566ab1cf557b64f66d482a39f3e01ecd268c31e360b92f611a23ff97d,hawkish,inflation,,,"Despite this progress, Canadians are still feeling the hardship of high inflation in their essential household expenses, with persistent price increases for food and shelter."
gpt-5-mini,codebook,28452f83553d803fcd3a9d0024bea4c320fa59a92d5171c2c389ba49a51ee86c,dovish,growth,364,148,"Moreover, there are significant downside risks to the economic outlook, including strains in global financial markets."
gpt-5-mini,codebook,284a8ad3a78b95528dfe67a4e59c1ff2f5344816852f359da1e3e5fd0b5ad7a8,neutral,inflation,,,"CPI inflation slowed to 2.2% in October, as gasoline prices fell and food prices rose more slowly."
gpt-5-mini,codebook,285adb14685b2b75ec9285ba49c50f12469238a887f5addbd64707e3496b4823,neutral,guidance,355,148,"Implementation Note issued July 31, 2019"
gpt-5-mini,codebook,28647ea6b1a36c534fdb833fb7665ae53e599444cf36343f5b917a569320d8bd,dovish,inflation,,,It is then expected to ease to about 2½% in the second half of 2023 and return to the 2% target in 2024.
gpt-5-mini,codebook,286ae7e16a125e40f462fffe7e85dcf5e5361c08c839c273c20874d55a9847c2,neutral,growth,370,147,"The central scenario is based on assumptions outlined in the MPR, including that there is no widespread second wave of the virus."
gpt-5-mini,codebook,287b390a92f12f6c78a9f8fecaa6dd72315a72bc4e2e6154507023fd168aba6b,hawkish,inflation,,,"In their consideration of monetary policy at this meeting, participants noted that inflation had remained somewhat elevated and that available indicators suggested that economic activity had been expanding at a solid pace."
gpt-5-mini,codebook,2884d863f88af1fb92f3eb65cf23e3085beba74a7147eaab1eefddce19c84c99,neutral,growth,,,"Overall, risky asset prices were compatible with continued economic expansion."
gpt-5-mini,codebook,28a40c25782a28ce20c6b0dee6a4e8b74d1de015340047e8e26e2f40674e0fbc,neutral,financial_stability,,,"The rise in longer-maturity yields appeared to reflect, in part, market participants' increasing fiscal concerns: In response to a Desk survey question about the top factors behind the respondents' forecast of the 10-year yield over the next two years, the fiscal outlook was the factor cited by the largest number of respondents."
gpt-5-mini,codebook,28bf4d85bc4237351259d3974a2cf8c95602bec78ab2be72797c97427db70063,neutral,growth,,,The Bank continues to expect the global economy to expand at a rate of about 3% over the next two years.
gpt-5-mini,codebook,28c1f383c03d0a2c2869a49b9a79a5a36e0f8481b74cdecb5e2558d79a20e6ae,neutral,employment,,,Strong population growth from immigration is adding both demand and supply to the economy: newcomers are helping to ease the shortage of workers while also boosting consumer spending and adding to demand for housing.
gpt-5-mini,codebook,28cbbe4407f3eb3c43cb3abce7a1dbaeb5aced7f6045f4218d2b1c83a82c3025,neutral,guidance,,,This assessment was also supported by information acquired in Desk outreach efforts.
gpt-5-mini,codebook,28d272c40747ed4c8c61d7ae6f90358ebcfceb4b4d2364af41d3de6cd16db89b,neutral,inflation,,,"Core PCE price inflation, which excludes changes in consumer energy prices and many consumer food prices, was 5.0 percent over the 12 months ending in October, down 0.2 percentage point from its September reading."
